allele,gene_family,whitelisted_taxa,product_name,scope,type,subtype,class,subclass,refseq_protein_accession,refseq_nucleotide_accession,curated_refseq_start,genbank_protein_accession,genbank_nucleotide_accession,genbank_strand,genbank_start,genbank_stop,refseq_strand,refseq_start,refseq_stop,pubmed_reference,blacklisted_taxa,synonyms,hierarchy_node,db_version,refseq_parent_taxon,refseq_protein,refseq_parent_taxon2,refseq_gene,refseq_protein2,refseq_genome,refseq_organism,refseq_tax_id,genbank_organism,genbank_strain,genbank_organism2,genbank_strain2,genbank_tax_id,strain,parent_taxon
,aac(2')-I(A267),,aminoglycoside N-acetyltransferase AAC(2')-I(A267),core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/TOBRAMYCIN,WP_025297907.1,NG_242157.1,No,CDI94966.1,HG530068.1,-,7204881,7205417,+,101.0,637.0,,,,aac(2')-I(A267),2024-01-31.1,Pseudomonas aeruginosa,aminoglycoside N-acetyltransferase AAC(2')-I(A267),Pseudomonas aeruginosa,Pseudomonas aeruginosa PA38182 aac(2')-I(A267),aminoglycoside N-acetyltransferase AAC(2')-I(A267),,Pseudomonas aeruginosa PA38182,taxon:1407059,Pseudomonas aeruginosa PA38182,PA38182,Pseudomonas aeruginosa PA38182,PA38182,taxon:1407059,Pseudomonas aeruginosa PA38182,http://www.wikidata.org/entity/Q31856
,aac(2')-IIb,,kasugamycin N-acetyltransferase AAC(2')-IIb,core,AMR,AMR,AMINOGLYCOSIDE,KASUGAMYCIN,WP_071224044.1,NG_055672.1,No,APB03221.1,KX531051.1,+,1,723,+,1.0,723.0,27929110,,,aac(2')-IIb,2024-01-31.1,Paenibacillus sp. LC231,kasugamycin N-acetyltransferase AAC(2')-IIb,Paenibacillus sp. LC231,Paenibacillus sp. LC231 aac(2')-IIb,kasugamycin N-acetyltransferase AAC(2')-IIb,,Paenibacillus sp. LC231,taxon:1120679,Paenibacillus sp. LC231,LC231,Paenibacillus sp. LC231,LC231,taxon:1120679,Paenibacillus sp. LC231,http://www.wikidata.org/entity/Q26270468
,aac(2')-Ic,,aminoglycoside N-acetyltransferase AAC(2')-Ic,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/TOBRAMYCIN,WP_003899880.1,NG_047229.1,No,AAB17563.1,U72714.1,+,373,918,+,101.0,646.0,9159528,,,aac(2')-Ic,2024-01-31.1,Mycobacterium,aminoglycoside N-acetyltransferase AAC(2')-Ic,Mycobacterium,Mycobacterium tuberculosis H37Rv aac(2')-Ic,aminoglycoside N-acetyltransferase AAC(2')-Ic,,Mycobacterium tuberculosis H37Rv,taxon:83332,Mycobacterium tuberculosis H37Rv,H37Rv,Mycobacterium tuberculosis H37Rv,H37Rv,taxon:83332,Mycobacterium tuberculosis H37Rv,http://www.wikidata.org/entity/Q130971
,aac(3)-Ig,,aminoglycoside N-acetyltransferase AAC(3)-Ig,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_011468318.1,NG_048571.1,No,ABD81100.1,CP000282.1,+,2333620,2334096,+,101.0,577.0,,,,aac(3)-Ig,2024-01-31.1,Saccharophagus degradans,aminoglycoside N-acetyltransferase AAC(3)-Ig,Saccharophagus degradans,Saccharophagus degradans 2-40 aac(3)-Ig,aminoglycoside N-acetyltransferase AAC(3)-Ig,,Saccharophagus degradans 2-40,taxon:203122,Saccharophagus degradans 2-40,2-40,Saccharophagus degradans 2-40,2-40,taxon:203122,Saccharophagus degradans 2-40,http://www.wikidata.org/entity/Q7396606
,aac(3)-Ii,,aminoglycoside N-acetyltransferase AAC(3)-Ii,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_011540937.1,NG_048573.1,No,ABF52347.1,CP000356.1,-,638262,638720,+,101.0,559.0,,,,aac(3)-Ii,2024-01-31.1,Sphingopyxis alaskensis,aminoglycoside N-acetyltransferase AAC(3)-Ii,Sphingopyxis alaskensis,Sphingopyxis alaskensis RB2256 aac(3)-Ii,aminoglycoside N-acetyltransferase AAC(3)-Ii,,Sphingopyxis alaskensis RB2256,taxon:317655,Sphingopyxis alaskensis RB2256,RB2256,Sphingopyxis alaskensis RB2256,RB2256,taxon:317655,Sphingopyxis alaskensis RB2256,http://www.wikidata.org/entity/Q21324563
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_004874306.1,NG_052265.1,No,EEQ11435.1,AALD02000008.1,-,4573,5013,+,101.0,541.0,,,,aac(6')_Yersi,2024-01-31.1,Yersinia mollaretii,aminoglycoside 6'-N-acetyltransferase,Yersinia mollaretii,Yersinia mollaretii ATCC 43969 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Yersinia mollaretii ATCC 43969,taxon:349967,Yersinia mollaretii ATCC 43969,ATCC 43969,Yersinia mollaretii ATCC 43969,ATCC 43969,taxon:349967,Yersinia mollaretii ATCC 43969,http://www.wikidata.org/entity/Q16994539
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_019453091.1,NG_052284.1,Yes,,ALOV01000006.1,+,88679,89119,+,101.0,541.0,,,,aac(6')_Serra,2024-01-31.1,Serratia,aminoglycoside 6'-N-acetyltransferase,Serratia,Serratia marcescens W2.3 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens W2.3,taxon:1218513,,,Serratia marcescens W2.3,W2.3,taxon:1218513,Serratia marcescens W2.3,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_004937175.1,NG_052389.1,No,EMF04571.1,AORJ01000065.1,-,222016,222456,+,101.0,541.0,,,,aac(6')_Serra,2024-01-31.1,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens VGH107 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens VGH107,taxon:1263833,Serratia marcescens VGH107,VGH107,Serratia marcescens VGH107,VGH107,taxon:1263833,Serratia marcescens VGH107,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_041036791.1,NG_052449.1,No,BAO35700.1,AP013063.1,+,3877863,3878303,+,101.0,541.0,,,,aac(6')_Serra,2024-01-31.1,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens SM39 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens SM39,taxon:1334564,Serratia marcescens SM39,SM39,Serratia marcescens SM39,SM39,taxon:1334564,Serratia marcescens SM39,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_021505085.1,NG_052297.1,No,ERH70569.1,AVSR01000023.1,+,98684,99124,+,101.0,541.0,,,,aac(6')_Serra,2024-01-31.1,Serratia,aminoglycoside 6'-N-acetyltransferase,Serratia,Serratia marcescens EGD-HP20 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens EGD-HP20,taxon:1357297,Serratia marcescens EGD-HP20,EGD-HP20,Serratia marcescens EGD-HP20,EGD-HP20,taxon:1357297,Serratia marcescens EGD-HP20,http://www.wikidata.org/entity/Q140004
