allele,gene_family,whitelisted_taxa,product_name,scope,type,subtype,class,subclass,refseq_protein_accession,refseq_nucleotide_accession,curated_refseq_start,genbank_protein_accession,genbank_nucleotide_accession,genbank_strand,genbank_start,genbank_stop,refseq_strand,refseq_start,refseq_stop,pubmed_reference,blacklisted_taxa,synonyms,hierarchy_node,db_version,refseq_gene,refseq_protein,refseq_genome,refseq_organism,refseq_parent,rrefseq_protein,refseq_same_parent,genbank_organsim_nuc,genbank_strain_nuc,genbank_organsim_prot,genbank_strain_prot,strain,parent_taxon
,aac(2')-I(A267),,aminoglycoside N-acetyltransferase AAC(2')-I(A267),core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/TOBRAMYCIN,WP_025297907.1,NG_242157.1,No,CDI94966.1,HG530068.1,-,7204881,7205417,+,101.0,637.0,,,,aac(2')-I(A267),2023-11-15.1,Pseudomonas aeruginosa PA38182 aac(2')-I(A267),aminoglycoside N-acetyltransferase AAC(2')-I(A267),,Pseudomonas aeruginosa PA38182,Pseudomonas aeruginosa,aminoglycoside N-acetyltransferase AAC(2')-I(A267),Pseudomonas aeruginosa,Pseudomonas aeruginosa PA38182,PA38182,Pseudomonas aeruginosa PA38182,PA38182,Pseudomonas aeruginosa PA38182,http://www.wikidata.org/entity/Q31856
,aac(2')-IIa,,kasugamycin N-acetyltransferase AAC(2')-IIa,core,AMR,AMR,AMINOGLYCOSIDE,KASUGAMYCIN,WP_063839881.1,NG_047225.1,No,BAM16262.1,AB669090.1,+,12439,13221,+,101.0,883.0,22660700,,,aac(2')-IIa,2023-11-15.1,Burkholderia glumae 5091 aac(2')-IIa,kasugamycin N-acetyltransferase AAC(2')-IIa,,Burkholderia glumae,Pseudomonadota,kasugamycin N-acetyltransferase AAC(2')-IIa,Pseudomonadota,Burkholderia glumae,5091,Burkholderia glumae,5091,Burkholderia glumae 5091,http://www.wikidata.org/entity/Q4999017
,aac(2')-IIb,,kasugamycin N-acetyltransferase AAC(2')-IIb,core,AMR,AMR,AMINOGLYCOSIDE,KASUGAMYCIN,WP_071224044.1,NG_055672.1,No,APB03221.1,KX531051.1,+,1,723,+,1.0,723.0,27929110,,,aac(2')-IIb,2023-11-15.1,Paenibacillus sp. LC231 aac(2')-IIb,kasugamycin N-acetyltransferase AAC(2')-IIb,,Paenibacillus sp. LC231,Paenibacillus sp. LC231,kasugamycin N-acetyltransferase AAC(2')-IIb,Paenibacillus sp. LC231,Paenibacillus sp. LC231,LC231,Paenibacillus sp. LC231,LC231,Paenibacillus sp. LC231,http://www.wikidata.org/entity/Q26270468
,aac(2')-Ic,,aminoglycoside N-acetyltransferase AAC(2')-Ic,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/TOBRAMYCIN,WP_003899880.1,NG_047229.1,No,AAB17563.1,U72714.1,+,373,918,+,101.0,646.0,9159528,,,aac(2')-Ic,2023-11-15.1,Mycobacterium tuberculosis H37Rv aac(2')-Ic,aminoglycoside N-acetyltransferase AAC(2')-Ic,,Mycobacterium tuberculosis H37Rv,Mycobacterium,aminoglycoside N-acetyltransferase AAC(2')-Ic,Mycobacterium,Mycobacterium tuberculosis H37Rv,H37Rv,Mycobacterium tuberculosis H37Rv,H37Rv,Mycobacterium tuberculosis H37Rv,http://www.wikidata.org/entity/Q130971
,aac(3)-C322,,aminoglycoside N-acetyltransferase AAC(3)-C322,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,WP_044061792.1,NG_242159.1,No,ECI2662265.1,AAIUPV010000079.1,+,1716,2510,+,101.0,895.0,37537271,,,aac(3)-C322,2023-11-15.1,Salmonella enterica subsp. enterica serovar Typhimurium PNUSAS018916 aac(3)-C322,aminoglycoside N-acetyltransferase AAC(3)-C322,,Salmonella enterica subsp. enterica serovar Typhimurium,Pseudomonadota,aminoglycoside N-acetyltransferase AAC(3)-C322,Pseudomonadota,Salmonella enterica subsp. enterica serovar Typhimurium,PNUSAS018916,Salmonella enterica subsp. enterica serovar Typhimurium,PNUSAS018916,Salmonella enterica subsp. enterica serovar Typhimurium PNUSAS018916,http://www.wikidata.org/entity/Q2264864
,aac(3)-I,,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_011270148.1,NG_047237.1,No,CAI46944.1,AJ877225.1,-,5293,5757,+,101.0,565.0,15995187,,,aac(3)-I,2023-11-15.1,Pseudomonas aeruginosa Ps142 Rms149 aac(3)-I,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,,Pseudomonas aeruginosa,Pseudomonadota,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,Pseudomonadota,Pseudomonas aeruginosa,Ps142,Pseudomonas aeruginosa,Ps142,Pseudomonas aeruginosa Ps142,http://www.wikidata.org/entity/Q31856
,aac(3)-IIIa,,aminoglycoside N-acetyltransferase AAC(3)-IIIa,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840261.1,NG_047241.1,No,CAA39184.1,X55652.1,+,1124,1939,+,101.0,916.0,1649572,,aacC3,aac(3)-IIIa,2023-11-15.1,Pseudomonas aeruginosa PST-1 aac(3)-IIIa,aminoglycoside N-acetyltransferase AAC(3)-IIIa,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,aminoglycoside N-acetyltransferase AAC(3)-IIIa,Pseudomonas aeruginosa,Pseudomonas aeruginosa,PST-1,Pseudomonas aeruginosa,PST-1,Pseudomonas aeruginosa PST-1,http://www.wikidata.org/entity/Q31856
,aac(3)-IIIb,,aminoglycoside N-acetyltransferase AAC(3)-IIIb,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_058179966.1,NG_051746.1,No,KSC15183.1,LLLC01000048.1,-,353,1171,+,101.0,919.0,20387903,,,aac(3)-IIIb,2023-11-15.1,Pseudomonas aeruginosa WH-SGI-V-07065 aac(3)-IIIb,aminoglycoside N-acetyltransferase AAC(3)-IIIb,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,aminoglycoside N-acetyltransferase AAC(3)-IIIb,Pseudomonas aeruginosa,Pseudomonas aeruginosa,WH-SGI-V-07065,Pseudomonas aeruginosa,WH-SGI-V-07065,Pseudomonas aeruginosa WH-SGI-V-07065,http://www.wikidata.org/entity/Q31856
,aac(3)-IIe,,aminoglycoside N-acetyltransferase AAC(3)-IIe,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_002063884.1,NG_047247.1,No,AAN34370.1,AY138987.1,-,4039,4899,+,101.0,961.0,12726770,,aacC2e,aac(3)-IIe,2023-11-15.1,Acinetobacter baumannii PAU aac(3)-IIe,aminoglycoside N-acetyltransferase AAC(3)-IIe,,Acinetobacter baumannii,Acinetobacter baumannii,aminoglycoside N-acetyltransferase AAC(3)-IIe,Acinetobacter baumannii,Acinetobacter baumannii,PAU,Acinetobacter baumannii,PAU,Acinetobacter baumannii PAU,http://www.wikidata.org/entity/Q3241189
,aac(3)-IVb,,aminoglycoside N-acetyltransferase AAC(3)-IVb,core,AMR,AMR,AMINOGLYCOSIDE,APRAMYCIN/GENTAMICIN/TOBRAMYCIN,WP_149317372.1,NG_070718.1,No,KAA0181672.1,VSRI01000003.1,+,355622,356419,+,101.0,898.0,15231771,,,aac(3)-IVb,2023-11-15.1,Cupriavidus gilardii W2-2 aac(3)-IVb,aminoglycoside N-acetyltransferase AAC(3)-IVb,,Cupriavidus gilardii,Cupriavidus gilardii,aminoglycoside N-acetyltransferase AAC(3)-IVb,Cupriavidus gilardii,Cupriavidus gilardii,W2-2,Cupriavidus gilardii,W2-2,Cupriavidus gilardii W2-2,http://www.wikidata.org/entity/Q16953254
,aac(3)-Ia,,aminoglycoside N-acetyltransferase AAC(3)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_032491356.1,NG_047233.1,No,CAA08847.1,AJ009820.2,+,930,1394,+,101.0,565.0,9835490,,aacC1,aac(3)-Ia,2023-11-15.1,Salmonella enterica subsp. enterica serovar Typhimurium pSEM aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica,aminoglycoside N-acetyltransferase AAC(3)-Ia,Salmonella enterica,Salmonella enterica subsp. enterica serovar Typhimurium,,Salmonella enterica subsp. enterica serovar Typhimurium,,Salmonella enterica subsp. enterica serovar Typhimurium,http://www.wikidata.org/entity/Q2264864
,aac(3)-Ia,,aminoglycoside N-acetyltransferase AAC(3)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840259.1,NG_047239.1,No,ADH03009.1,HM036080.1,+,132,596,+,101.0,565.0,,,aacC1,aac(3)-Ia,2023-11-15.1,Acinetobacter baumannii Aci 33 aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,,Acinetobacter baumannii,Acinetobacter baumannii,aminoglycoside N-acetyltransferase AAC(3)-Ia,Acinetobacter baumannii,Acinetobacter baumannii,Aci 33,Acinetobacter baumannii,Aci 33,Acinetobacter baumannii Aci 33,http://www.wikidata.org/entity/Q3241189
,aac(3)-Ib,,aminoglycoside N-acetyltransferase AAC(3)-Ib,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_010792467.1,NG_047257.1,No,ADU86600.1,GU390401.1,+,1774,2238,+,101.0,565.0,7486920,,,aac(3)-Ib,2023-11-15.1,Pseudomonas aeruginosa MG1370 aac(3)-Ib,aminoglycoside N-acetyltransferase AAC(3)-Ib,,Pseudomonas aeruginosa,Gammaproteobacteria,aminoglycoside N-acetyltransferase AAC(3)-Ib,Gammaproteobacteria,Pseudomonas aeruginosa,MG1370,Pseudomonas aeruginosa,MG1370,Pseudomonas aeruginosa MG1370,http://www.wikidata.org/entity/Q31856
